VEZFILE						
Area:	"Бородулино; 17.08.96"					
Prof:	"1; профиль"					
						
#curve						
Кривая:	1 					
Коорд:	0 0 0					
";AB/2"	MN/2	K	U	D	I	Rok
1       0.5     2.3561925       42      1000    10      99 
1.5     0.5     6.28318         46      300     10      87 
2.2     0.5     14.4198981      72      100     10      104 
3       0.5     27.4889125      42      100     10      115 
5       0.5     77.7543525      44      30      10      103 
7       0.5     153.1525125     54      10      10      83 
9       0.5     253.6833925     30      10      10      76 
15      0.5     706.0723525     30      3       10      64 
20      0.5     1255.850603     66      1       10      83 
25      0.5     1962.708353     52      1       10      102 
40      0.5     5025.758603     34      1       10      171 
65      0.5     13272.43235     52      0.3     10      207 
100     0.5     31415.1146      33      0.3     10      311 
#endcurve						

#curve						
Кривая:	2 					
Коорд:	0 0 0					
";AB/2"	MN/2	K	U	D	I	Rok
1       0.5     2.3561925       50      1000    10      118 
1.5     0.5     6.28318         65      300     10      123 
2.2     0.5     14.4198981      41      300     10      177 
3       0.5     27.4889125      78      100     10      214 
5       0.5     77.7543525      34      100     10      264 
7       0.5     153.1525125     56      30      10      257 
9       0.5     253.6833925     32      30      10      244 
15      0.5     706.0723525     36      10      10      254 
20      0.5     1255.850603     54      3       10      203 
25      0.5     1962.708353     31      3       10      183 
40      0.5     5025.758603     90      0.3     10      136 
65      0.5     13272.43235     30      0.3     10      119 
#endcurve						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						

						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						

						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
